message,source,label
"Votre compte MTN Mobile Money a été crédité de 25000 FCFA. Solde: 47500 FCFA.",SMS,0
"Orange Money: Vous avez reçu 10000 FCFA de +237612345678. Nouveau solde: 35000 FCFA.",SMS,0
"MTN: Votre transfert de 5000 FCFA vers +237699887766 a été effectué avec succès.",SMS,0
"Votre solde MTN MoMo est de 12500 FCFA. Merci d'utiliser MTN Mobile Money.",SMS,0
"Orange Money: Transaction réussie. Vous avez envoyé 8000 FCFA à Jean Paul.",SMS,0
"MTN Mobile Money: Retrait de 20000 FCFA effectué au agent MoMo 001234. Solde: 5000 FCFA.",SMS,0
"Votre paiement Orange Money de 3500 FCFA pour Canal+ a été traité avec succès.",SMS,0
"MTN: Dépôt de 50000 FCFA reçu sur votre compte MoMo. Solde actuel: 62000 FCFA.",SMS,0
"Congratulations! Your MTN MoMo account has been credited with 5000 FCFA airtime.",SMS,0
"Orange Money: Your bill payment of 15000 FCFA to ENEO was successful.",SMS,0
"ALERTE MTN: Votre compte Mobile Money sera suspendu. Confirmez votre PIN au 676000000.",SMS,2
"URGENT: Votre compte Orange Money est bloqué. Envoyez votre code secret au 699000000 immédiatement.",SMS,2
"Félicitations! Vous avez gagné 500000 FCFA dans la loterie MTN. Appelez le 676111222 maintenant.",SMS,2
"MTN PROMO: Vous êtes sélectionné pour recevoir 1000000 FCFA. Envoyez votre PIN au 677999888.",SMS,2
"Orange Money WINNER: Vous avez gagné un iPhone 15. Cliquez ici: bit.ly/orange-prize-cm",SMS,2
"URGENT MTN: Suspicious activity detected on your MoMo account. Send PIN to verify: 676000111",SMS,2
"Votre compte MTN sera fermé dans 24 heures. Envoyez 1000 FCFA au 676555444 pour réactiver.",SMS,2
"Orange Money ALERTE: Transaction suspecte détectée. Confirmez votre identité: bit.ly/verify-orange",SMS,2
"Cher client MTN, vous avez été sélectionné. Envoyez votre numéro MoMo et PIN au 677123456.",SMS,2
"CONGRATULATIONS MTN USER: You won 2000000 FCFA lottery. Call 676999000 to claim your prize NOW.",SMS,2
"MTN MoMo: Nous avons remarqué une activité inhabituelle. Vérifiez votre compte: mtn-momo-cm.tk",SMS,2
"Orange: Votre compte expire bientôt. Rechargez 500 FCFA au 699111000 pour maintenir vos services.",SMS,2
"MTN Alert: Your account will be suspended. Click here urgently: bit.ly/mtn-verify-cameroon",WhatsApp,2
"Orange Money: Transaction de 75000 FCFA en attente. Confirmez avec PIN au +237677000111.",WhatsApp,2
